Player;Age;Min;Gls;Ast;CrdY;CrdR;G+A;SoT;Cmp;Cmp%;KP;Prog;SCA;GCA;Tkl+Int;Clr;PPM;Season;Team;League;Nationality;Position
Aaron Cresswell;27;3069;1;3;7;0;12;6;12240;717;350;960;620;90;900;1330;114;2017-2018;West Ham;England;England;Defender
Aaron Hunt;30;2081;3;2;1;0;22;6;8830;718;650;970;1020;60;440;210;107;2017-2018;Hamburger SV;Germany;Germany;Midfielder
Aaron Lennon;30;1118;0;2;2;0;16;4;2040;694;80;220;180;30;310;90;143;2017-2018;Burnley;England;England;Midfielder
Aaron Lennon;30;793;0;0;0;0;0;1;1520;710;50;170;160;40;250;90;127;2017-2018;Everton;England;England;Forward
Aaron Mooy;26;3067;4;3;4;0;21;6;15610;755;480;1630;730;50;1510;700;94;2017-2018;Huddersfield;England;Australia;Midfielder
Aaron Ramsey;26;1846;7;8;0;0;73;25;10500;839;280;1200;570;130;610;110;183;2017-2018;Arsenal;England;Wales;Midfielder
Aaron Wan-Bissaka;19;627;0;0;1;0;0;0;2010;703;30;220;70;0;440;400;10;2017-2018;Crystal Palace;England;England;Defender
Aarón Martín;20;2816;0;0;6;0;0;2;10100;738;330;840;540;30;730;330;131;2017-2018;Espanyol;Spain;Spain;Defender
Abdallah N'dour;23;254;0;0;2;1;0;0;860;688;50;100;80;0;120;10;6;2017-2018;Strasbourg;France;Senegal;Defender
Abdelhamid Sabiri;20;220;0;1;1;0;41;0;680;708;30;50;60;10;50;40;4;2017-2018;Huddersfield;England;Germany;Midfielder
Abdou Diallo;21;2415;2;1;5;0;11;3;9050;754;60;1090;260;40;880;1070;115;2017-2018;Mainz 05;Germany;Senegal;Defender
Abdoul Camara;27;975;2;1;0;0;28;6;2230;712;90;200;200;10;160;10;107;2017-2018;Guingamp;France;Guinea;Forward
Abdoulaye Bamba;27;1533;0;0;2;0;0;1;6210;767;60;510;160;20;300;300;78;2017-2018;Angers;France;C�te d'Ivoire;Defender
Abdoulaye Doucouré;24;3324;7;3;10;0;27;17;18940;838;390;1660;810;40;1580;810;111;2017-2018;Watford;England;France;Midfielder
Abdoulaye Touré;23;2809;1;1;3;0;6;13;10700;783;180;1400;770;60;1440;410;144;2017-2018;Nantes;France;France;Midfielder
Ablie Jallow;18;129;0;0;0;0;0;0;340;773;10;30;40;0;20;0;0;2017-2018;Metz;France;Gambia;Midfielder
Achraf Hakimi;18;758;2;1;0;0;36;4;3940;821;50;270;110;10;300;90;211;2017-2018;Real Madrid;Spain;Morocco;Defender
Achraf Lazaar;25;478;1;0;0;0;19;4;1200;694;30;30;70;0;160;100;0;2017-2018;Benevento;Italy;Morocco;Midfielder
Adalberto Peñaranda;20;798;0;0;3;0;0;7;1870;770;70;130;250;0;100;20;77;2017-2018;Málaga;Spain;Venezuela;Forward
Adam Lallana;29;308;0;0;1;0;0;0;1920;861;70;270;150;0;90;30;233;2017-2018;Liverpool;England;England;Midfielder
Adam Marušić;24;2523;3;4;3;1;25;13;9250;774;380;720;710;110;470;180;191;2017-2018;Lazio;Italy;Montenegro;Defender
Adam Masina;23;2830;0;1;8;1;3;3;12860;767;240;1610;490;50;1300;1010;97;2017-2018;Bologna;Italy;Morocco;Defender
Adam Ounas;20;96;0;0;0;0;0;1;420;764;50;30;90;20;40;20;143;2017-2018;Napoli;Italy;Algeria;Forward
Adam Smith;26;2071;1;3;6;0;17;3;8940;802;190;660;390;70;1130;550;107;2017-2018;Bournemouth;England;England;Defender
