Season;Player;player_foot;market_value
2018-2019;Aaron Mattia Tabacchi;left;25000
2019-2020;Akin Famewo;left;25000
2018-2019;Alessandro Gabbani;right;25000
2018-2019;Alessandro Gori;left;25000
2017-2018;Andrea Romagnoli;left;25000
2018-2019;Andrea Romagnoli;left;25000
2019-2020;Augustas Dubickas;right;25000
2017-2018;Brady Scott;right;25000
2018-2019;Carl Davordzie;both;25000
2018-2019;Carlo Romei;right;25000
2018-2019;Davide Savi;left;25000
2017-2018;Dennis Smarsch;both;25000
2019-2020;Diego Abbrandini;right;25000
2018-2019;Domenico Cuomo;right;25000
2018-2019;Emanuele Fenderico;right;25000
2019-2020;Emanuele Torrasi;right;25000
2018-2019;Fabrizio Bagheria;right;25000
2018-2019;Federico Pelle;left;25000
2018-2019;Filippo Pavoni;right;25000
2018-2019;Gianni Palmese;right;25000
2018-2019;Giovanni Nuti;left;25000
2017-2018;Lorenzo Spurio;right;25000
2017-2018;Luca Seri;right;25000
2019-2020;Lukas Jensen;right;25000
2019-2020;Michele Laraspata;right;25000
2018-2019;Moussa Souare;right;25000
2019-2020;Niccolò Chiorra;right;25000
2019-2020;Nicolò Radaelli;right;25000
2019-2020;Patrick Enrici;left;25000
2019-2020;Peter Gwargis;left;25000
2019-2020;Razvan Sava;right;25000
2018-2019;Sergio Kalaj;right;25000
2018-2019;Stefano Ferraresi;right;25000
2017-2018;Thomas Candeloro;right;25000
2018-2019;Tommaso Di Renzone;right;25000
2018-2019;Yanis Hénin;left;25000
2017-2018;Adnan Maric;right;40000
2019-2020;Abdoulaye Traoré;right;50000
2017-2018;Abukar Mohamed;right;50000
2018-2019;Adrian Stanilewicz;left;50000
2018-2019;Alberto Carminati;right;50000
2017-2018;Aldo Caiazza;right;50000
2019-2020;Alessandro Berardi;right;50000
2020-2021;Alessandro Berardi;right;50000
2018-2019;Alessandro D'Andrea;left;50000
2018-2019;Alessandro Marongiu;right;50000
2018-2019;Alessio Bianchi;right;50000
2018-2019;Alessio Rollandi;right;50000
2019-2020;Ander Iru;left;50000
2017-2018;Andrea Ciofi;right;50000
2018-2019;Andrea Di Maggio;right;50000
2018-2019;Andrea Paolelli;right;50000
2018-2019;Andrea Rizzo Pinna;right;50000
2018-2019;Andrea Romanò;both;50000
2018-2019;Andrea Sana;right;50000
2019-2020;Aritz Castro;right;50000
2017-2018;Benito Del Valle;right;50000
2019-2020;Bojan Radulovic;right;50000
2019-2020;Callum Slattery;right;50000
2018-2019;Cesare Pogliano;right;50000
2017-2018;Christian Rutjens;right;50000
2018-2019;Damir Bartulovic;right;50000
2017-2018;Dani Vivian;right;50000
2018-2019;Daouda Peeters;right;50000
2017-2018;Dario Vittorio Meadows;right;50000
2018-2019;Davide Mastaj;right;50000
2018-2019;Denis Hergheligiu;left;50000
2017-2018;Dion Henry;right;50000
2018-2019;Dion Henry;right;50000
2019-2020;Dominik Bilogrevic;right;50000
2019-2020;Edoardo Corvi;right;50000
2018-2019;Eduardo Baldé;right;50000
2017-2018;Emanuele Torrasi;right;50000
2018-2019;Emanuele Torrasi;right;50000
2018-2019;Emmanuele Matino;right;50000
2019-2020;Eric Lirussi;right;50000
