"Player","Season","Age","Min","Gls","Ast","CrdY","CrdR","G+A","SoT","Cmp","Cmp%","KP","Prog","SCA","GCA","Tkl+Int","Clr","PPM","Team","League","Nationality","Position","player_foot","market_value","race"
"Aaron Connolly","2020-2021",20,791,2,1,0,0,34,8,790,782,50,30,120,10,70,10,88,"Brighton","England","Ireland","Forward","right",7e+08,0
"Aaron Connolly","2019-2020",19,1258,3,1,0,0,29,13,1260,773,60,100,250,50,170,10,113,"Brighton","England","Ireland","Forward","right",4e+08,0
"Aaron Cresswell","2020-2021",30,3170,0,8,3,0,23,4,15410,748,600,1200,960,140,670,980,181,"West Ham","England","England","Defender","left",5e+08,0
"Aaron Cresswell","2019-2020",29,2727,3,0,7,0,1,5,12410,738,230,1230,460,20,630,920,97,"West Ham","England","England","Defender","left",6500000,0
"Aaron Cresswell","2017-2018",27,3069,1,3,7,0,12,6,12240,717,350,960,620,90,900,1330,114,"West Ham","England","England","Defender","left",1.2e+07,0
"Aaron Cresswell","2018-2019",28,1589,0,1,1,0,6,0,8420,787,160,650,290,20,490,600,13,"West Ham","England","England","Defender","left",1e+09,0
"Aaron Hickey","2020-2021",18,758,0,0,3,1,0,1,3390,839,40,240,70,10,250,150,127,"Bologna","Italy","Scotland","Defender","both",5e+08,0
"Aaron Hunt","2017-2018",30,2081,3,2,1,0,22,6,8830,718,650,970,1020,60,440,210,107,"Hamburger SV","Germany","Germany","Midfielder","left",1500000,0
"Aaron Lennon","2017-2018",30,1118,0,2,2,0,16,4,2040,694,80,220,180,30,310,90,143,"Burnley","England","England","Midfielder","right",5e+08,1
"Aaron Lennon","2017-2018",30,1118,0,2,2,0,16,4,2040,694,80,220,180,30,310,90,143,"Burnley","England","England","Midfielder","right",5e+08,1
"Aaron Lennon","2017-2018",30,793,0,0,0,0,0,1,1520,710,50,170,160,40,250,90,127,"Everton","England","England","Forward","right",5e+08,1
"Aaron Lennon","2017-2018",30,793,0,0,0,0,0,1,1520,710,50,170,160,40,250,90,127,"Everton","England","England","Forward","right",5e+08,1
"Aaron Lennon","2018-2019",31,1215,1,1,1,0,15,2,2330,747,70,200,180,10,410,90,75,"Burnley","England","England","Midfielder","right",5e+08,1
"Aaron Lennon","2019-2020",32,496,0,0,4,0,0,0,920,702,20,80,70,10,230,60,131,"Burnley","England","England","Midfielder","right",2400000,1
"Aaron Leya Iseka","2018-2019",20,1444,4,0,2,1,25,12,2130,798,110,150,240,20,40,100,104,"Toulouse","France","Belgium","Forward","right",3e+08,1
"Aaron Leya Iseka","2019-2020",21,777,2,0,2,0,23,8,1420,776,40,100,200,10,70,70,27,"Toulouse","France","Belgium","Forward","right",2e+08,1
"Aaron Leya Iseka","2020-2021",22,1008,4,0,4,0,36,6,1510,759,120,90,210,10,110,40,114,"Metz","France","Belgium","Forward","right",2500000,1
"Aarón Martín","2020-2021",23,262,0,0,0,0,0,1,6910,802,70,450,130,30,50,10,4,"Mainz 05","Germany","Spain","Defender","left",4500000,0
"Aarón Martín","2020-2021",23,1540,0,3,1,0,18,0,1220,722,50,60,50,0,520,500,153,"Celta Vigo","Spain","Spain","Defender","left",4500000,0
"Aarón Martín","2018-2019",21,2878,0,3,3,0,9,4,12980,745,600,1040,950,90,760,650,13,"Mainz 05","Germany","Spain","Defender","left",2e+09,0
"Aarón Martín","2018-2019",21,2878,0,3,3,0,9,4,12980,745,600,1040,950,90,760,650,13,"Mainz 05","Germany","Spain","Defender","left",2e+09,0
"Aarón Martín","2019-2020",22,1792,0,0,2,0,0,3,6620,726,310,540,490,20,350,430,10,"Mainz 05","Germany","Spain","Defender","left",10500000,0
"Aarón Martín","2017-2018",20,2816,0,0,6,0,0,2,10100,738,330,840,540,30,730,330,131,"Espanyol","Spain","Spain","Defender","left",1.2e+07,0
"Aaron Mooy","2019-2020",28,2085,2,2,3,1,17,8,8250,767,390,960,700,70,610,290,103,"Brighton","England","Australia","Midfielder","right",9500000,0
"Aaron Mooy","2018-2019",27,2330,3,1,4,0,15,13,10720,754,410,1180,760,20,930,280,52,"Huddersfield","England","Australia","Midfielder","right",1.4e+07,0
"Aaron Mooy","2017-2018",26,3067,4,3,4,0,21,6,15610,755,480,1630,730,50,1510,700,94,"Huddersfield","England","Australia","Midfielder","right",1e+09,0
"Aaron Ramsey","2017-2018",26,1846,7,8,0,0,73,25,10500,839,280,1200,570,130,610,110,183,"Arsenal","England","Wales","Midfielder","both",4.5e+07,0
"Aaron Ramsey","2019-2020",28,1051,3,1,2,0,34,9,6490,870,180,350,440,40,370,70,225,"Juventus","Italy","Wales","Midfielder","both",2.8e+07,0
"Aaron Ramsey","2020-2021",29,1089,2,4,2,0,5,10,6260,855,300,590,580,70,300,90,218,"Juventus","Italy","Wales","Midfielder","both",1.4e+07,0
"Aaron Ramsey","2018-2019",27,1331,4,6,0,0,68,13,6500,824,250,630,450,100,470,30,193,"Arsenal","England","Wales","Midfielder","both",4e+09,0
"Aaron Wan-Bissaka","2018-2019",20,3134,0,3,4,1,9,0,11470,755,140,1190,400,70,2290,1680,131,"Crystal Palace","England","England","Defender","right",3.5e+07,1
"Aaron Wan-Bissaka","2019-2020",21,3070,0,4,8,0,12,1,16760,812,260,1430,470,60,1870,1080,177,"Manchester Utd","England","England","Defender","right",3.2e+07,1
"Aaron Wan-Bissaka","2017-2018",19,627,0,0,1,0,0,0,2010,703,30,220,70,0,440,400,10,"Crystal Palace","England","England","Defender","right",1e+08,1
